Major Group,Minor Group,Broad Occupation,Detailed Occupation,Detailed O*NET-SOC,SOC or O*NET-SOC 2019 Title
29-0000,29-1000,29-1290,29-1299,29-1299.01,Naturopathic Physicians
29-0000,29-1000,29-1290,29-1299,29-1299.02,Orthoptists
29-0000,29-2000,29-1290,29-1299,29-1299.02,Health Technologists and Technicians
29-0000,29-2000,29-2010,29-1299,29-1299.02,Clinical Laboratory Technologists and Technicians
29-0000,29-2000,29-2010,29-2011,29-1299.02,Medical and Clinical Laboratory Technologists
29-0000,29-2000,29-2010,29-2011,29-2011.01,Cytogenetic Technologists
29-0000,29-2000,29-2010,29-2011,29-2011.02,Cytotechnologists
29-0000,29-2000,29-2010,29-2011,29-2011.04,Histotechnologists
29-0000,29-2000,29-2010,29-2012,29-2011.04,Medical and Clinical Laboratory Technicians
29-0000,29-2000,29-2010,29-2012,29-2012.01,Histology Technicians
29-0000,29-2000,29-2030,29-2012,29-2012.01,Diagnostic Related Technologists and Technicians
29-0000,29-2000,29-2030,29-2031,29-2012.01,Cardiovascular Technologists and Technicians
29-0000,29-2000,29-2030,29-2032,29-2012.01,Diagnostic Medical Sonographers
29-0000,29-2000,29-2030,29-2033,29-2012.01,Nuclear Medicine Technologists
29-0000,29-2000,29-2030,29-2034,29-2012.01,Radiologic Technologists and Technicians
29-0000,29-2000,29-2030,29-2035,29-2012.01,Magnetic Resonance Imaging Technologists
29-0000,29-2000,29-2030,29-2036,29-2012.01,Medical Dosimetrists
29-0000,29-2000,29-2040,29-2036,29-2012.01,Emergency Medical Technicians and Paramedics
29-0000,29-2000,29-2040,29-2042,29-2012.01,Emergency Medical Technicians
29-0000,29-2000,29-2040,29-2043,29-2012.01,Paramedics
29-0000,29-2000,29-2050,29-2043,29-2012.01,Health Practitioner Support Technologists and Technicians
29-0000,29-2000,29-2050,29-2051,29-2012.01,Dietetic Technicians
29-0000,29-2000,29-2050,29-2052,29-2012.01,Pharmacy Technicians
29-0000,29-2000,29-2050,29-2053,29-2012.01,Psychiatric Technicians
29-0000,29-2000,29-2050,29-2055,29-2012.01,Surgical Technologists
29-0000,29-2000,29-2050,29-2056,29-2012.01,Veterinary Technologists and Technicians
29-0000,29-2000,29-2050,29-2057,29-2012.01,Ophthalmic Medical Technicians
29-0000,29-2000,29-2060,29-2057,29-2012.01,Licensed Practical and Licensed Vocational Nurses
29-0000,29-2000,29-2060,29-2061,29-2012.01,Licensed Practical and Licensed Vocational Nurses
29-0000,29-2000,29-2070,29-2061,29-2012.01,Medical Records Specialists
29-0000,29-2000,29-2070,29-2072,29-2012.01,Medical Records Specialists
29-0000,29-2000,29-2080,29-2072,29-2012.01,"Opticians, Dispensing"
29-0000,29-2000,29-2080,29-2081,29-2012.01,"Opticians, Dispensing"
29-0000,29-2000,29-2090,29-2081,29-2012.01,Miscellaneous Health Technologists and Technicians
29-0000,29-2000,29-2090,29-2091,29-2012.01,Orthotists and Prosthetists
29-0000,29-2000,29-2090,29-2092,29-2012.01,Hearing Aid Specialists
29-0000,29-2000,29-2090,29-2099,29-2012.01,"Health Technologists and Technicians, All Other"
29-0000,29-2000,29-2090,29-2099,29-2099.01,Neurodiagnostic Technologists
29-0000,29-2000,29-2090,29-2099,29-2099.05,Ophthalmic Medical Technologists
29-0000,29-2000,29-2090,29-2099,29-2099.08,Patient Representatives
29-0000,29-9000,29-2090,29-2099,29-2099.08,Other Healthcare Practitioners and Technical Occupations
29-0000,29-9000,29-9020,29-2099,29-2099.08,Health Information Technologists and Medical Registrars
29-0000,29-9000,29-9020,29-9021,29-2099.08,Health Information Technologists and Medical Registrars
29-0000,29-9000,29-9090,29-9021,29-2099.08,Miscellaneous Health Practitioners and Technical Workers
29-0000,29-9000,29-9090,29-9091,29-2099.08,Athletic Trainers
29-0000,29-9000,29-9090,29-9092,29-2099.08,Genetic Counselors
29-0000,29-9000,29-9090,29-9093,29-2099.08,Surgical Assistants
29-0000,29-9000,29-9090,29-9099,29-2099.08,"Healthcare Practitioners and Technical Workers, All Other"
29-0000,29-9000,29-9090,29-9099,29-9099.01,Midwives
31-0000,29-9000,29-9090,29-9099,29-9099.01,Healthcare Support Occupations
31-0000,31-1100,29-9090,29-9099,29-9099.01,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
31-0000,31-1100,31-1120,29-9099,29-9099.01,Home Health and Personal Care Aides
31-0000,31-1100,31-1120,31-1121,29-9099.01,Home Health Aides
31-0000,31-1100,31-1120,31-1122,29-9099.01,Personal Care Aides
31-0000,31-1100,31-1130,31-1122,29-9099.01,"Nursing Assistants, Orderlies, and Psychiatric Aides"
31-0000,31-1100,31-1130,31-1131,29-9099.01,Nursing Assistants
31-0000,31-1100,31-1130,31-1132,29-9099.01,Orderlies
31-0000,31-1100,31-1130,31-1133,29-9099.01,Psychiatric Aides
31-0000,31-2000,31-1130,31-1133,29-9099.01,Occupational Therapy and Physical Therapist Assistants and Aides
31-0000,31-2000,31-2010,31-1133,29-9099.01,Occupational Therapy Assistants and Aides
31-0000,31-2000,31-2010,31-2011,29-9099.01,Occupational Therapy Assistants
31-0000,31-2000,31-2010,31-2012,29-9099.01,Occupational Therapy Aides
31-0000,31-2000,31-2020,31-2012,29-9099.01,Physical Therapist Assistants and Aides
31-0000,31-2000,31-2020,31-2021,29-9099.01,Physical Therapist Assistants
31-0000,31-2000,31-2020,31-2022,29-9099.01,Physical Therapist Aides
31-0000,31-9000,31-2020,31-2022,29-9099.01,Other Healthcare Support Occupations
31-0000,31-9000,31-9010,31-2022,29-9099.01,Massage Therapists
31-0000,31-9000,31-9010,31-9011,29-9099.01,Massage Therapists
31-0000,31-9000,31-9090,31-9011,29-9099.01,Miscellaneous Healthcare Support Occupations
31-0000,31-9000,31-9090,31-9091,29-9099.01,Dental Assistants
31-0000,31-9000,31-9090,31-9092,29-9099.01,Medical Assistants
31-0000,31-9000,31-9090,31-9093,29-9099.01,Medical Equipment Preparers
31-0000,31-9000,31-9090,31-9094,29-9099.01,Medical Transcriptionists
31-0000,31-9000,31-9090,31-9095,29-9099.01,Pharmacy Aides
31-0000,31-9000,31-9090,31-9096,29-9099.01,Veterinary Assistants and Laboratory Animal Caretakers
31-0000,31-9000,31-9090,31-9097,29-9099.01,Phlebotomists
31-0000,31-9000,31-9090,31-9099,29-9099.01,"Healthcare Support Workers, All Other"
31-0000,31-9000,31-9090,31-9099,31-9099.01,Speech-Language Pathology Assistants
31-0000,31-9000,31-9090,31-9099,31-9099.02,Endoscopy Technicians
33-0000,31-9000,31-9090,31-9099,31-9099.02,Protective Service Occupations
33-0000,33-1000,31-9090,31-9099,31-9099.02,Supervisors of Protective Service Workers
33-0000,33-1000,33-1010,31-9099,31-9099.02,First-Line Supervisors of Law Enforcement Workers
33-0000,33-1000,33-1010,33-1011,31-9099.02,First-Line Supervisors of Correctional Officers
33-0000,33-1000,33-1010,33-1012,31-9099.02,First-Line Supervisors of Police and Detectives
33-0000,33-1000,33-1020,33-1012,31-9099.02,First-Line Supervisors of Firefighting and Prevention Workers
33-0000,33-1000,33-1020,33-1021,31-9099.02,First-Line Supervisors of Firefighting and Prevention Workers
33-0000,33-1000,33-1090,33-1021,31-9099.02,"Miscellaneous First-Line Supervisors, Protective Service Workers"
33-0000,33-1000,33-1090,33-1091,31-9099.02,First-Line Supervisors of Security Workers
33-0000,33-1000,33-1090,33-1099,31-9099.02,"First-Line Supervisors of Protective Service Workers, All Other"
33-0000,33-2000,33-1090,33-1099,31-9099.02,Firefighting and Prevention Workers
33-0000,33-2000,33-2010,33-1099,31-9099.02,Firefighters
33-0000,33-2000,33-2010,33-2011,31-9099.02,Firefighters
33-0000,33-2000,33-2020,33-2011,31-9099.02,Fire Inspectors
33-0000,33-2000,33-2020,33-2021,31-9099.02,Fire Inspectors and Investigators
33-0000,33-2000,33-2020,33-2022,31-9099.02,Forest Fire Inspectors and Prevention Specialists
33-0000,33-3000,33-2020,33-2022,31-9099.02,Law Enforcement Workers
33-0000,33-3000,33-3010,33-2022,31-9099.02,"Bailiffs, Correctional Officers, and Jailers"
33-0000,33-3000,33-3010,33-3011,31-9099.02,Bailiffs
33-0000,33-3000,33-3010,33-3012,31-9099.02,Correctional Officers and Jailers
33-0000,33-3000,33-3020,33-3012,31-9099.02,Detectives and Criminal Investigators
33-0000,33-3000,33-3020,33-3021,31-9099.02,Detectives and Criminal Investigators
33-0000,33-3000,33-3020,33-3021,33-3021.02,Police Identification and Records Officers
33-0000,33-3000,33-3020,33-3021,33-3021.06,Intelligence Analysts
33-0000,33-3000,33-3030,33-3021,33-3021.06,Fish and Game Wardens
33-0000,33-3000,33-3030,33-3031,33-3021.06,Fish and Game Wardens
33-0000,33-3000,33-3040,33-3031,33-3021.06,Parking Enforcement Workers
33-0000,33-3000,33-3040,33-3041,33-3021.06,Parking Enforcement Workers
33-0000,33-3000,33-3050,33-3041,33-3021.06,Police Officers
33-0000,33-3000,33-3050,33-3051,33-3021.06,Police and Sheriff's Patrol Officers
33-0000,33-3000,33-3050,33-3051,33-3051.04,Customs and Border Protection Officers
33-0000,33-3000,33-3050,33-3052,33-3051.04,Transit and Railroad Police
33-0000,33-9000,33-3050,33-3052,33-3051.04,Other Protective Service Workers
33-0000,33-9000,33-9010,33-3052,33-3051.04,Animal Control Workers
33-0000,33-9000,33-9010,33-9011,33-3051.04,Animal Control Workers
33-0000,33-9000,33-9020,33-9011,33-3051.04,Private Detectives and Investigators
33-0000,33-9000,33-9020,33-9021,33-3051.04,Private Detectives and Investigators
33-0000,33-9000,33-9030,33-9021,33-3051.04,Security Guards and Gambling Surveillance Officers
33-0000,33-9000,33-9030,33-9031,33-3051.04,Gambling Surveillance Officers and Gambling Investigators
33-0000,33-9000,33-9030,33-9032,33-3051.04,Security Guards
33-0000,33-9000,33-9090,33-9032,33-3051.04,Miscellaneous Protective Service Workers
33-0000,33-9000,33-9090,33-9091,33-3051.04,Crossing Guards and Flaggers
33-0000,33-9000,33-9090,33-9092,33-3051.04,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
33-0000,33-9000,33-9090,33-9093,33-3051.04,Transportation Security Screeners
33-0000,33-9000,33-9090,33-9094,33-3051.04,School Bus Monitors
33-0000,33-9000,33-9090,33-9099,33-3051.04,"Protective Service Workers, All Other"
33-0000,33-9000,33-9090,33-9099,33-9099.02,Retail Loss Prevention Specialists
35-0000,33-9000,33-9090,33-9099,33-9099.02,Food Preparation and Serving Related Occupations
35-0000,35-1000,33-9090,33-9099,33-9099.02,Supervisors of Food Preparation and Serving Workers
35-0000,35-1000,35-1010,33-9099,33-9099.02,Supervisors of Food Preparation and Serving Workers
35-0000,35-1000,35-1010,35-1011,33-9099.02,Chefs and Head Cooks
35-0000,35-1000,35-1010,35-1012,33-9099.02,First-Line Supervisors of Food Preparation and Serving Workers
35-0000,35-2000,35-1010,35-1012,33-9099.02,Cooks and Food Preparation Workers
35-0000,35-2000,35-2010,35-1012,33-9099.02,Cooks
35-0000,35-2000,35-2010,35-2011,33-9099.02,"Cooks, Fast Food"
35-0000,35-2000,35-2010,35-2012,33-9099.02,"Cooks, Institution and Cafeteria"
35-0000,35-2000,35-2010,35-2013,33-9099.02,"Cooks, Private Household"
35-0000,35-2000,35-2010,35-2014,33-9099.02,"Cooks, Restaurant"
35-0000,35-2000,35-2010,35-2015,33-9099.02,"Cooks, Short Order"
35-0000,35-2000,35-2010,35-2019,33-9099.02,"Cooks, All Other"
35-0000,35-2000,35-2020,35-2019,33-9099.02,Food Preparation Workers
35-0000,35-2000,35-2020,35-2021,33-9099.02,Food Preparation Workers
35-0000,35-3000,35-2020,35-2021,33-9099.02,Food and Beverage Serving Workers
35-0000,35-3000,35-3010,35-2021,33-9099.02,Bartenders
35-0000,35-3000,35-3010,35-3011,33-9099.02,Bartenders
35-0000,35-3000,35-3020,35-3011,33-9099.02,Fast Food and Counter Workers
35-0000,35-3000,35-3020,35-3023,33-9099.02,Fast Food and Counter Workers
35-0000,35-3000,35-3020,35-3023,35-3023.01,Baristas
35-0000,35-3000,35-3030,35-3023,35-3023.01,Waiters and Waitresses
35-0000,35-3000,35-3030,35-3031,35-3023.01,Waiters and Waitresses
35-0000,35-3000,35-3040,35-3031,35-3023.01,"Food Servers, Nonrestaurant"
35-0000,35-3000,35-3040,35-3041,35-3023.01,"Food Servers, Nonrestaurant"
35-0000,35-9000,35-3040,35-3041,35-3023.01,Other Food Preparation and Serving Related Workers
35-0000,35-9000,35-9010,35-3041,35-3023.01,Dining Room and Cafeteria Attendants and Bartender Helpers
35-0000,35-9000,35-9010,35-9011,35-3023.01,Dining Room and Cafeteria Attendants and Bartender Helpers
35-0000,35-9000,35-9020,35-9011,35-3023.01,Dishwashers
35-0000,35-9000,35-9020,35-9021,35-3023.01,Dishwashers
35-0000,35-9000,35-9030,35-9021,35-3023.01,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-0000,35-9000,35-9030,35-9031,35-3023.01,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-0000,35-9000,35-9090,35-9031,35-3023.01,Miscellaneous Food Preparation and Serving Related Workers
35-0000,35-9000,35-9090,35-9099,35-3023.01,"Food Preparation and Serving Related Workers, All Other"
37-0000,35-9000,35-9090,35-9099,35-3023.01,Building and Grounds Cleaning and Maintenance Occupations
37-0000,37-1000,35-9090,35-9099,35-3023.01,Supervisors of Building and Grounds Cleaning and Maintenance Workers
37-0000,37-1000,37-1010,35-9099,35-3023.01,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers
37-0000,37-1000,37-1010,37-1011,35-3023.01,First-Line Supervisors of Housekeeping and Janitorial Workers
37-0000,37-1000,37-1010,37-1012,35-3023.01,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
37-0000,37-2000,37-1010,37-1012,35-3023.01,Building Cleaning and Pest Control Workers
37-0000,37-2000,37-2010,37-1012,35-3023.01,Building Cleaning Workers
37-0000,37-2000,37-2010,37-2011,35-3023.01,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37-0000,37-2000,37-2010,37-2012,35-3023.01,Maids and Housekeeping Cleaners
37-0000,37-2000,37-2010,37-2019,35-3023.01,"Building Cleaning Workers, All Other"
37-0000,37-2000,37-2020,37-2019,35-3023.01,Pest Control Workers
37-0000,37-2000,37-2020,37-2021,35-3023.01,Pest Control Workers
37-0000,37-3000,37-2020,37-2021,35-3023.01,Grounds Maintenance Workers
37-0000,37-3000,37-3010,37-2021,35-3023.01,Grounds Maintenance Workers
37-0000,37-3000,37-3010,37-3011,35-3023.01,Landscaping and Groundskeeping Workers
37-0000,37-3000,37-3010,37-3012,35-3023.01,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
37-0000,37-3000,37-3010,37-3013,35-3023.01,Tree Trimmers and Pruners
37-0000,37-3000,37-3010,37-3019,35-3023.01,"Grounds Maintenance Workers, All Other"
39-0000,37-3000,37-3010,37-3019,35-3023.01,Personal Care and Service Occupations
39-0000,39-1000,37-3010,37-3019,35-3023.01,Supervisors of Personal Care and Service Workers
39-0000,39-1000,39-1010,37-3019,35-3023.01,First-Line Supervisors of Entertainment and Recreation Workers
39-0000,39-1000,39-1010,39-1013,35-3023.01,First-Line Supervisors of Gambling Services Workers
39-0000,39-1000,39-1010,39-1014,35-3023.01,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
39-0000,39-1000,39-1020,39-1014,35-3023.01,First-Line Supervisors of Personal Service Workers
39-0000,39-1000,39-1020,39-1022,35-3023.01,First-Line Supervisors of Personal Service Workers
39-0000,39-2000,39-1020,39-1022,35-3023.01,Animal Care and Service Workers
39-0000,39-2000,39-2010,39-1022,35-3023.01,Animal Trainers
39-0000,39-2000,39-2010,39-2011,35-3023.01,Animal Trainers
39-0000,39-2000,39-2020,39-2011,35-3023.01,Animal Caretakers
39-0000,39-2000,39-2020,39-2021,35-3023.01,Animal Caretakers
39-0000,39-3000,39-2020,39-2021,35-3023.01,Entertainment Attendants and Related Workers
39-0000,39-3000,39-3010,39-2021,35-3023.01,Gambling Services Workers
39-0000,39-3000,39-3010,39-3011,35-3023.01,Gambling Dealers
39-0000,39-3000,39-3010,39-3012,35-3023.01,Gambling and Sports Book Writers and Runners
39-0000,39-3000,39-3010,39-3019,35-3023.01,"Gambling Service Workers, All Other"
39-0000,39-3000,39-3020,39-3019,35-3023.01,Motion Picture Projectionists
39-0000,39-3000,39-3020,39-3021,35-3023.01,Motion Picture Projectionists
39-0000,39-3000,39-3030,39-3021,35-3023.01,"Ushers, Lobby Attendants, and Ticket Takers"
39-0000,39-3000,39-3030,39-3031,35-3023.01,"Ushers, Lobby Attendants, and Ticket Takers"
39-0000,39-3000,39-3090,39-3031,35-3023.01,Miscellaneous Entertainment Attendants and Related Workers
39-0000,39-3000,39-3090,39-3091,35-3023.01,Amusement and Recreation Attendants
39-0000,39-3000,39-3090,39-3092,35-3023.01,Costume Attendants
39-0000,39-3000,39-3090,39-3093,35-3023.01,"Locker Room, Coatroom, and Dressing Room Attendants"
39-0000,39-3000,39-3090,39-3099,35-3023.01,"Entertainment Attendants and Related Workers, All Other"
39-0000,39-4000,39-3090,39-3099,35-3023.01,Funeral Service Workers
39-0000,39-4000,39-4010,39-3099,35-3023.01,Embalmers and Crematory Operators
39-0000,39-4000,39-4010,39-4011,35-3023.01,Embalmers
39-0000,39-4000,39-4010,39-4012,35-3023.01,Crematory Operators
39-0000,39-4000,39-4020,39-4012,35-3023.01,Funeral Attendants
39-0000,39-4000,39-4020,39-4021,35-3023.01,Funeral Attendants
39-0000,39-4000,39-4030,39-4021,35-3023.01,"Morticians, Undertakers, and Funeral Arrangers"
39-0000,39-4000,39-4030,39-4031,35-3023.01,"Morticians, Undertakers, and Funeral Arrangers"
39-0000,39-5000,39-4030,39-4031,35-3023.01,Personal Appearance Workers
39-0000,39-5000,39-5010,39-4031,35-3023.01,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
39-0000,39-5000,39-5010,39-5011,35-3023.01,Barbers
39-0000,39-5000,39-5010,39-5012,35-3023.01,"Hairdressers, Hairstylists, and Cosmetologists"
39-0000,39-5000,39-5090,39-5012,35-3023.01,Miscellaneous Personal Appearance Workers
39-0000,39-5000,39-5090,39-5091,35-3023.01,"Makeup Artists, Theatrical and Performance"
39-0000,39-5000,39-5090,39-5092,35-3023.01,Manicurists and Pedicurists
39-0000,39-5000,39-5090,39-5093,35-3023.01,Shampooers
39-0000,39-5000,39-5090,39-5094,35-3023.01,Skincare Specialists
39-0000,39-6000,39-5090,39-5094,35-3023.01,"Baggage Porters, Bellhops, and Concierges"
39-0000,39-6000,39-6010,39-5094,35-3023.01,"Baggage Porters, Bellhops, and Concierges"
39-0000,39-6000,39-6010,39-6011,35-3023.01,Baggage Porters and Bellhops
39-0000,39-6000,39-6010,39-6012,35-3023.01,Concierges
39-0000,39-7000,39-6010,39-6012,35-3023.01,Tour and Travel Guides
39-0000,39-7000,39-7010,39-6012,35-3023.01,Tour and Travel Guides
39-0000,39-7000,39-7010,39-7011,35-3023.01,Tour Guides and Escorts
39-0000,39-7000,39-7010,39-7012,35-3023.01,Travel Guides
39-0000,39-9000,39-7010,39-7012,35-3023.01,Other Personal Care and Service Workers
39-0000,39-9000,39-9010,39-7012,35-3023.01,Childcare Workers
39-0000,39-9000,39-9010,39-9011,35-3023.01,Childcare Workers
39-0000,39-9000,39-9010,39-9011,39-9011.01,Nannies
39-0000,39-9000,39-9030,39-9011,39-9011.01,Recreation and Fitness Workers
39-0000,39-9000,39-9030,39-9031,39-9011.01,Exercise Trainers and Group Fitness Instructors
39-0000,39-9000,39-9030,39-9032,39-9011.01,Recreation Workers
39-0000,39-9000,39-9040,39-9032,39-9011.01,Residential Advisors
39-0000,39-9000,39-9040,39-9041,39-9011.01,Residential Advisors
39-0000,39-9000,39-9090,39-9041,39-9011.01,Miscellaneous Personal Care and Service Workers
39-0000,39-9000,39-9090,39-9099,39-9011.01,"Personal Care and Service Workers, All Other"
41-0000,39-9000,39-9090,39-9099,39-9011.01,Sales and Related Occupations
41-0000,41-1000,39-9090,39-9099,39-9011.01,Supervisors of Sales Workers
41-0000,41-1000,41-1010,39-9099,39-9011.01,First-Line Supervisors of Sales Workers
41-0000,41-1000,41-1010,41-1011,39-9011.01,First-Line Supervisors of Retail Sales Workers
41-0000,41-1000,41-1010,41-1012,39-9011.01,First-Line Supervisors of Non-Retail Sales Workers
41-0000,41-2000,41-1010,41-1012,39-9011.01,Retail Sales Workers
41-0000,41-2000,41-2010,41-1012,39-9011.01,Cashiers
41-0000,41-2000,41-2010,41-2011,39-9011.01,Cashiers
41-0000,41-2000,41-2010,41-2012,39-9011.01,Gambling Change Persons and Booth Cashiers
41-0000,41-2000,41-2020,41-2012,39-9011.01,Counter and Rental Clerks and Parts Salespersons
41-0000,41-2000,41-2020,41-2021,39-9011.01,Counter and Rental Clerks
41-0000,41-2000,41-2020,41-2022,39-9011.01,Parts Salespersons
41-0000,41-2000,41-2030,41-2022,39-9011.01,Retail Salespersons
41-0000,41-2000,41-2030,41-2031,39-9011.01,Retail Salespersons
41-0000,41-3000,41-2030,41-2031,39-9011.01,"Sales Representatives, Services"
41-0000,41-3000,41-3010,41-2031,39-9011.01,Advertising Sales Agents
41-0000,41-3000,41-3010,41-3011,39-9011.01,Advertising Sales Agents
41-0000,41-3000,41-3020,41-3011,39-9011.01,Insurance Sales Agents
41-0000,41-3000,41-3020,41-3021,39-9011.01,Insurance Sales Agents
41-0000,41-3000,41-3030,41-3021,39-9011.01,"Securities, Commodities, and Financial Services Sales Agents"
41-0000,41-3000,41-3030,41-3031,39-9011.01,"Securities, Commodities, and Financial Services Sales Agents"
41-0000,41-3000,41-3040,41-3031,39-9011.01,Travel Agents
41-0000,41-3000,41-3040,41-3041,39-9011.01,Travel Agents
41-0000,41-3000,41-3090,41-3041,39-9011.01,"Miscellaneous Sales Representatives, Services"
41-0000,41-3000,41-3090,41-3091,39-9011.01,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
41-0000,41-4000,41-3090,41-3091,39-9011.01,"Sales Representatives, Wholesale and Manufacturing"
41-0000,41-4000,41-4010,41-3091,39-9011.01,"Sales Representatives, Wholesale and Manufacturing"
41-0000,41-4000,41-4010,41-4011,39-9011.01,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-0000,41-4000,41-4010,41-4011,41-4011.07,Solar Sales Representatives and Assessors
41-0000,41-4000,41-4010,41-4012,41-4011.07,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-0000,41-9000,41-4010,41-4012,41-4011.07,Other Sales and Related Workers
41-0000,41-9000,41-9010,41-4012,41-4011.07,"Models, Demonstrators, and Product Promoters"
41-0000,41-9000,41-9010,41-9011,41-4011.07,Demonstrators and Product Promoters
41-0000,41-9000,41-9010,41-9012,41-4011.07,Models
41-0000,41-9000,41-9020,41-9012,41-4011.07,Real Estate Brokers and Sales Agents
41-0000,41-9000,41-9020,41-9021,41-4011.07,Real Estate Brokers
41-0000,41-9000,41-9020,41-9022,41-4011.07,Real Estate Sales Agents
41-0000,41-9000,41-9030,41-9022,41-4011.07,Sales Engineers
41-0000,41-9000,41-9030,41-9031,41-4011.07,Sales Engineers
41-0000,41-9000,41-9040,41-9031,41-4011.07,Telemarketers
41-0000,41-9000,41-9040,41-9041,41-4011.07,Telemarketers
41-0000,41-9000,41-9090,41-9041,41-4011.07,Miscellaneous Sales and Related Workers
41-0000,41-9000,41-9090,41-9091,41-4011.07,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
41-0000,41-9000,41-9090,41-9099,41-4011.07,"Sales and Related Workers, All Other"
43-0000,41-9000,41-9090,41-9099,41-4011.07,Office and Administrative Support Occupations
43-0000,43-1000,41-9090,41-9099,41-4011.07,Supervisors of Office and Administrative Support Workers
43-0000,43-1000,43-1010,41-9099,41-4011.07,First-Line Supervisors of Office and Administrative Support Workers
43-0000,43-1000,43-1010,43-1011,41-4011.07,First-Line Supervisors of Office and Administrative Support Workers
43-0000,43-2000,43-1010,43-1011,41-4011.07,Communications Equipment Operators
43-0000,43-2000,43-2010,43-1011,41-4011.07,"Switchboard Operators, Including Answering Service"
43-0000,43-2000,43-2010,43-2011,41-4011.07,"Switchboard Operators, Including Answering Service"
43-0000,43-2000,43-2020,43-2011,41-4011.07,Telephone Operators
43-0000,43-2000,43-2020,43-2021,41-4011.07,Telephone Operators
43-0000,43-2000,43-2090,43-2021,41-4011.07,Miscellaneous Communications Equipment Operators
43-0000,43-2000,43-2090,43-2099,41-4011.07,"Communications Equipment Operators, All Other"
43-0000,43-3000,43-2090,43-2099,41-4011.07,Financial Clerks
43-0000,43-3000,43-3010,43-2099,41-4011.07,Bill and Account Collectors
43-0000,43-3000,43-3010,43-3011,41-4011.07,Bill and Account Collectors
43-0000,43-3000,43-3020,43-3011,41-4011.07,Billing and Posting Clerks
43-0000,43-3000,43-3020,43-3021,41-4011.07,Billing and Posting Clerks
43-0000,43-3000,43-3030,43-3021,41-4011.07,"Bookkeeping, Accounting, and Auditing Clerks"
43-0000,43-3000,43-3030,43-3031,41-4011.07,"Bookkeeping, Accounting, and Auditing Clerks"
43-0000,43-3000,43-3040,43-3031,41-4011.07,Gambling Cage Workers
43-0000,43-3000,43-3040,43-3041,41-4011.07,Gambling Cage Workers
43-0000,43-3000,43-3050,43-3041,41-4011.07,Payroll and Timekeeping Clerks
43-0000,43-3000,43-3050,43-3051,41-4011.07,Payroll and Timekeeping Clerks
43-0000,43-3000,43-3060,43-3051,41-4011.07,Procurement Clerks
43-0000,43-3000,43-3060,43-3061,41-4011.07,Procurement Clerks
43-0000,43-3000,43-3070,43-3061,41-4011.07,Tellers
43-0000,43-3000,43-3070,43-3071,41-4011.07,Tellers
43-0000,43-3000,43-3090,43-3071,41-4011.07,Miscellaneous Financial Clerks
43-0000,43-3000,43-3090,43-3099,41-4011.07,"Financial Clerks, All Other"
43-0000,43-4000,43-3090,43-3099,41-4011.07,Information and Record Clerks
43-0000,43-4000,43-4010,43-3099,41-4011.07,Brokerage Clerks
43-0000,43-4000,43-4010,43-4011,41-4011.07,Brokerage Clerks
43-0000,43-4000,43-4020,43-4011,41-4011.07,Correspondence Clerks
43-0000,43-4000,43-4020,43-4021,41-4011.07,Correspondence Clerks
43-0000,43-4000,43-4030,43-4021,41-4011.07,"Court, Municipal, and License Clerks"
43-0000,43-4000,43-4030,43-4031,41-4011.07,"Court, Municipal, and License Clerks"
43-0000,43-4000,43-4040,43-4031,41-4011.07,"Credit Authorizers, Checkers, and Clerks"
43-0000,43-4000,43-4040,43-4041,41-4011.07,"Credit Authorizers, Checkers, and Clerks"
43-0000,43-4000,43-4050,43-4041,41-4011.07,Customer Service Representatives
43-0000,43-4000,43-4050,43-4051,41-4011.07,Customer Service Representatives
43-0000,43-4000,43-4060,43-4051,41-4011.07,"Eligibility Interviewers, Government Programs"
43-0000,43-4000,43-4060,43-4061,41-4011.07,"Eligibility Interviewers, Government Programs"
43-0000,43-4000,43-4070,43-4061,41-4011.07,File Clerks
43-0000,43-4000,43-4070,43-4071,41-4011.07,File Clerks
43-0000,43-4000,43-4080,43-4071,41-4011.07,"Hotel, Motel, and Resort Desk Clerks"
43-0000,43-4000,43-4080,43-4081,41-4011.07,"Hotel, Motel, and Resort Desk Clerks"
43-0000,43-4000,43-4110,43-4081,41-4011.07,"Interviewers, Except Eligibility and Loan"
43-0000,43-4000,43-4110,43-4111,41-4011.07,"Interviewers, Except Eligibility and Loan"
43-0000,43-4000,43-4120,43-4111,41-4011.07,"Library Assistants, Clerical"
43-0000,43-4000,43-4120,43-4121,41-4011.07,"Library Assistants, Clerical"
