broad_occupation,detailed_occupation,detailed_onet_soc,major_group,minor_group,soc_or_onet_soc_2019_title
29-1240,29-1243,29-1229.06,29-0000,29-1000,Pediatric Surgeons
29-1240,29-1249,29-1229.06,29-0000,29-1000,"Surgeons, All Other"
29-1290,29-1249,29-1229.06,29-0000,29-1000,Miscellaneous Healthcare Diagnosing or Treating Practitioners
29-1290,29-1291,29-1229.06,29-0000,29-1000,Acupuncturists
29-1290,29-1292,29-1229.06,29-0000,29-1000,Dental Hygienists
29-1290,29-1299,29-1229.06,29-0000,29-1000,"Healthcare Diagnosing or Treating Practitioners, All Other"
29-1290,29-1299,29-1299.01,29-0000,29-1000,Naturopathic Physicians
29-1290,29-1299,29-1299.02,29-0000,29-1000,Orthoptists
29-1290,29-1299,29-1299.02,29-0000,29-2000,Health Technologists and Technicians
29-2010,29-1299,29-1299.02,29-0000,29-2000,Clinical Laboratory Technologists and Technicians
29-2010,29-2011,29-1299.02,29-0000,29-2000,Medical and Clinical Laboratory Technologists
29-2010,29-2011,29-2011.01,29-0000,29-2000,Cytogenetic Technologists
29-2010,29-2011,29-2011.02,29-0000,29-2000,Cytotechnologists
29-2010,29-2011,29-2011.04,29-0000,29-2000,Histotechnologists
29-2010,29-2012,29-2011.04,29-0000,29-2000,Medical and Clinical Laboratory Technicians
29-2010,29-2012,29-2012.01,29-0000,29-2000,Histology Technicians
29-2030,29-2012,29-2012.01,29-0000,29-2000,Diagnostic Related Technologists and Technicians
29-2030,29-2031,29-2012.01,29-0000,29-2000,Cardiovascular Technologists and Technicians
29-2030,29-2032,29-2012.01,29-0000,29-2000,Diagnostic Medical Sonographers
29-2030,29-2033,29-2012.01,29-0000,29-2000,Nuclear Medicine Technologists
29-2030,29-2034,29-2012.01,29-0000,29-2000,Radiologic Technologists and Technicians
29-2030,29-2035,29-2012.01,29-0000,29-2000,Magnetic Resonance Imaging Technologists
29-2030,29-2036,29-2012.01,29-0000,29-2000,Medical Dosimetrists
29-2040,29-2036,29-2012.01,29-0000,29-2000,Emergency Medical Technicians and Paramedics
29-2040,29-2042,29-2012.01,29-0000,29-2000,Emergency Medical Technicians
29-2040,29-2043,29-2012.01,29-0000,29-2000,Paramedics
29-2050,29-2043,29-2012.01,29-0000,29-2000,Health Practitioner Support Technologists and Technicians
29-2050,29-2051,29-2012.01,29-0000,29-2000,Dietetic Technicians
29-2050,29-2052,29-2012.01,29-0000,29-2000,Pharmacy Technicians
29-2050,29-2053,29-2012.01,29-0000,29-2000,Psychiatric Technicians
29-2050,29-2055,29-2012.01,29-0000,29-2000,Surgical Technologists
29-2050,29-2056,29-2012.01,29-0000,29-2000,Veterinary Technologists and Technicians
29-2050,29-2057,29-2012.01,29-0000,29-2000,Ophthalmic Medical Technicians
29-2060,29-2057,29-2012.01,29-0000,29-2000,Licensed Practical and Licensed Vocational Nurses
29-2060,29-2061,29-2012.01,29-0000,29-2000,Licensed Practical and Licensed Vocational Nurses
29-2070,29-2061,29-2012.01,29-0000,29-2000,Medical Records Specialists
29-2070,29-2072,29-2012.01,29-0000,29-2000,Medical Records Specialists
29-2080,29-2072,29-2012.01,29-0000,29-2000,"Opticians, Dispensing"
29-2080,29-2081,29-2012.01,29-0000,29-2000,"Opticians, Dispensing"
29-2090,29-2081,29-2012.01,29-0000,29-2000,Miscellaneous Health Technologists and Technicians
29-2090,29-2091,29-2012.01,29-0000,29-2000,Orthotists and Prosthetists
29-2090,29-2092,29-2012.01,29-0000,29-2000,Hearing Aid Specialists
29-2090,29-2099,29-2012.01,29-0000,29-2000,"Health Technologists and Technicians, All Other"
29-2090,29-2099,29-2099.01,29-0000,29-2000,Neurodiagnostic Technologists
29-2090,29-2099,29-2099.05,29-0000,29-2000,Ophthalmic Medical Technologists
29-2090,29-2099,29-2099.08,29-0000,29-2000,Patient Representatives
29-2090,29-2099,29-2099.08,29-0000,29-9000,Other Healthcare Practitioners and Technical Occupations
29-9020,29-2099,29-2099.08,29-0000,29-9000,Health Information Technologists and Medical Registrars
29-9020,29-9021,29-2099.08,29-0000,29-9000,Health Information Technologists and Medical Registrars
29-9090,29-9021,29-2099.08,29-0000,29-9000,Miscellaneous Health Practitioners and Technical Workers
29-9090,29-9091,29-2099.08,29-0000,29-9000,Athletic Trainers
29-9090,29-9092,29-2099.08,29-0000,29-9000,Genetic Counselors
29-9090,29-9093,29-2099.08,29-0000,29-9000,Surgical Assistants
29-9090,29-9099,29-2099.08,29-0000,29-9000,"Healthcare Practitioners and Technical Workers, All Other"
29-9090,29-9099,29-9099.01,29-0000,29-9000,Midwives
29-9090,29-9099,29-9099.01,31-0000,29-9000,Healthcare Support Occupations
29-9090,29-9099,29-9099.01,31-0000,31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
31-1120,29-9099,29-9099.01,31-0000,31-1100,Home Health and Personal Care Aides
31-1120,31-1121,29-9099.01,31-0000,31-1100,Home Health Aides
31-1120,31-1122,29-9099.01,31-0000,31-1100,Personal Care Aides
31-1130,31-1122,29-9099.01,31-0000,31-1100,"Nursing Assistants, Orderlies, and Psychiatric Aides"
31-1130,31-1131,29-9099.01,31-0000,31-1100,Nursing Assistants
31-1130,31-1132,29-9099.01,31-0000,31-1100,Orderlies
31-1130,31-1133,29-9099.01,31-0000,31-1100,Psychiatric Aides
31-1130,31-1133,29-9099.01,31-0000,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides
31-2010,31-1133,29-9099.01,31-0000,31-2000,Occupational Therapy Assistants and Aides
31-2010,31-2011,29-9099.01,31-0000,31-2000,Occupational Therapy Assistants
31-2010,31-2012,29-9099.01,31-0000,31-2000,Occupational Therapy Aides
31-2020,31-2012,29-9099.01,31-0000,31-2000,Physical Therapist Assistants and Aides
31-2020,31-2021,29-9099.01,31-0000,31-2000,Physical Therapist Assistants
31-2020,31-2022,29-9099.01,31-0000,31-2000,Physical Therapist Aides
31-2020,31-2022,29-9099.01,31-0000,31-9000,Other Healthcare Support Occupations
31-9010,31-2022,29-9099.01,31-0000,31-9000,Massage Therapists
31-9010,31-9011,29-9099.01,31-0000,31-9000,Massage Therapists
31-9090,31-9011,29-9099.01,31-0000,31-9000,Miscellaneous Healthcare Support Occupations
31-9090,31-9091,29-9099.01,31-0000,31-9000,Dental Assistants
31-9090,31-9092,29-9099.01,31-0000,31-9000,Medical Assistants
31-9090,31-9093,29-9099.01,31-0000,31-9000,Medical Equipment Preparers
31-9090,31-9094,29-9099.01,31-0000,31-9000,Medical Transcriptionists
31-9090,31-9095,29-9099.01,31-0000,31-9000,Pharmacy Aides
31-9090,31-9096,29-9099.01,31-0000,31-9000,Veterinary Assistants and Laboratory Animal Caretakers
31-9090,31-9097,29-9099.01,31-0000,31-9000,Phlebotomists
31-9090,31-9099,29-9099.01,31-0000,31-9000,"Healthcare Support Workers, All Other"
31-9090,31-9099,31-9099.01,31-0000,31-9000,Speech-Language Pathology Assistants
31-9090,31-9099,31-9099.02,31-0000,31-9000,Endoscopy Technicians
31-9090,31-9099,31-9099.02,33-0000,31-9000,Protective Service Occupations
31-9090,31-9099,31-9099.02,33-0000,33-1000,Supervisors of Protective Service Workers
33-1010,31-9099,31-9099.02,33-0000,33-1000,First-Line Supervisors of Law Enforcement Workers
33-1010,33-1011,31-9099.02,33-0000,33-1000,First-Line Supervisors of Correctional Officers
33-1010,33-1012,31-9099.02,33-0000,33-1000,First-Line Supervisors of Police and Detectives
33-1020,33-1012,31-9099.02,33-0000,33-1000,First-Line Supervisors of Firefighting and Prevention Workers
33-1020,33-1021,31-9099.02,33-0000,33-1000,First-Line Supervisors of Firefighting and Prevention Workers
33-1090,33-1021,31-9099.02,33-0000,33-1000,"Miscellaneous First-Line Supervisors, Protective Service Workers"
33-1090,33-1091,31-9099.02,33-0000,33-1000,First-Line Supervisors of Security Workers
33-1090,33-1099,31-9099.02,33-0000,33-1000,"First-Line Supervisors of Protective Service Workers, All Other"
33-1090,33-1099,31-9099.02,33-0000,33-2000,Firefighting and Prevention Workers
33-2010,33-1099,31-9099.02,33-0000,33-2000,Firefighters
33-2010,33-2011,31-9099.02,33-0000,33-2000,Firefighters
33-2020,33-2011,31-9099.02,33-0000,33-2000,Fire Inspectors
33-2020,33-2021,31-9099.02,33-0000,33-2000,Fire Inspectors and Investigators
33-2020,33-2022,31-9099.02,33-0000,33-2000,Forest Fire Inspectors and Prevention Specialists
33-2020,33-2022,31-9099.02,33-0000,33-3000,Law Enforcement Workers
33-3010,33-2022,31-9099.02,33-0000,33-3000,"Bailiffs, Correctional Officers, and Jailers"
33-3010,33-3011,31-9099.02,33-0000,33-3000,Bailiffs
33-3010,33-3012,31-9099.02,33-0000,33-3000,Correctional Officers and Jailers
33-3020,33-3012,31-9099.02,33-0000,33-3000,Detectives and Criminal Investigators
33-3020,33-3021,31-9099.02,33-0000,33-3000,Detectives and Criminal Investigators
33-3020,33-3021,33-3021.02,33-0000,33-3000,Police Identification and Records Officers
33-3020,33-3021,33-3021.06,33-0000,33-3000,Intelligence Analysts
33-3030,33-3021,33-3021.06,33-0000,33-3000,Fish and Game Wardens
33-3030,33-3031,33-3021.06,33-0000,33-3000,Fish and Game Wardens
33-3040,33-3031,33-3021.06,33-0000,33-3000,Parking Enforcement Workers
33-3040,33-3041,33-3021.06,33-0000,33-3000,Parking Enforcement Workers
33-3050,33-3041,33-3021.06,33-0000,33-3000,Police Officers
33-3050,33-3051,33-3021.06,33-0000,33-3000,Police and Sheriff's Patrol Officers
33-3050,33-3051,33-3051.04,33-0000,33-3000,Customs and Border Protection Officers
33-3050,33-3052,33-3051.04,33-0000,33-3000,Transit and Railroad Police
33-3050,33-3052,33-3051.04,33-0000,33-9000,Other Protective Service Workers
33-9010,33-3052,33-3051.04,33-0000,33-9000,Animal Control Workers
33-9010,33-9011,33-3051.04,33-0000,33-9000,Animal Control Workers
33-9020,33-9011,33-3051.04,33-0000,33-9000,Private Detectives and Investigators
33-9020,33-9021,33-3051.04,33-0000,33-9000,Private Detectives and Investigators
33-9030,33-9021,33-3051.04,33-0000,33-9000,Security Guards and Gambling Surveillance Officers
33-9030,33-9031,33-3051.04,33-0000,33-9000,Gambling Surveillance Officers and Gambling Investigators
33-9030,33-9032,33-3051.04,33-0000,33-9000,Security Guards
33-9090,33-9032,33-3051.04,33-0000,33-9000,Miscellaneous Protective Service Workers
33-9090,33-9091,33-3051.04,33-0000,33-9000,Crossing Guards and Flaggers
33-9090,33-9092,33-3051.04,33-0000,33-9000,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
33-9090,33-9093,33-3051.04,33-0000,33-9000,Transportation Security Screeners
33-9090,33-9094,33-3051.04,33-0000,33-9000,School Bus Monitors
33-9090,33-9099,33-3051.04,33-0000,33-9000,"Protective Service Workers, All Other"
33-9090,33-9099,33-9099.02,33-0000,33-9000,Retail Loss Prevention Specialists
33-9090,33-9099,33-9099.02,35-0000,33-9000,Food Preparation and Serving Related Occupations
33-9090,33-9099,33-9099.02,35-0000,35-1000,Supervisors of Food Preparation and Serving Workers
35-1010,33-9099,33-9099.02,35-0000,35-1000,Supervisors of Food Preparation and Serving Workers
35-1010,35-1011,33-9099.02,35-0000,35-1000,Chefs and Head Cooks
35-1010,35-1012,33-9099.02,35-0000,35-1000,First-Line Supervisors of Food Preparation and Serving Workers
35-1010,35-1012,33-9099.02,35-0000,35-2000,Cooks and Food Preparation Workers
35-2010,35-1012,33-9099.02,35-0000,35-2000,Cooks
35-2010,35-2011,33-9099.02,35-0000,35-2000,"Cooks, Fast Food"
35-2010,35-2012,33-9099.02,35-0000,35-2000,"Cooks, Institution and Cafeteria"
35-2010,35-2013,33-9099.02,35-0000,35-2000,"Cooks, Private Household"
35-2010,35-2014,33-9099.02,35-0000,35-2000,"Cooks, Restaurant"
35-2010,35-2015,33-9099.02,35-0000,35-2000,"Cooks, Short Order"
35-2010,35-2019,33-9099.02,35-0000,35-2000,"Cooks, All Other"
35-2020,35-2019,33-9099.02,35-0000,35-2000,Food Preparation Workers
35-2020,35-2021,33-9099.02,35-0000,35-2000,Food Preparation Workers
35-2020,35-2021,33-9099.02,35-0000,35-3000,Food and Beverage Serving Workers
35-3010,35-2021,33-9099.02,35-0000,35-3000,Bartenders
35-3010,35-3011,33-9099.02,35-0000,35-3000,Bartenders
35-3020,35-3011,33-9099.02,35-0000,35-3000,Fast Food and Counter Workers
35-3020,35-3023,33-9099.02,35-0000,35-3000,Fast Food and Counter Workers
35-3020,35-3023,35-3023.01,35-0000,35-3000,Baristas
35-3030,35-3023,35-3023.01,35-0000,35-3000,Waiters and Waitresses
35-3030,35-3031,35-3023.01,35-0000,35-3000,Waiters and Waitresses
35-3040,35-3031,35-3023.01,35-0000,35-3000,"Food Servers, Nonrestaurant"
35-3040,35-3041,35-3023.01,35-0000,35-3000,"Food Servers, Nonrestaurant"
35-3040,35-3041,35-3023.01,35-0000,35-9000,Other Food Preparation and Serving Related Workers
35-9010,35-3041,35-3023.01,35-0000,35-9000,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9010,35-9011,35-3023.01,35-0000,35-9000,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9020,35-9011,35-3023.01,35-0000,35-9000,Dishwashers
35-9020,35-9021,35-3023.01,35-0000,35-9000,Dishwashers
35-9030,35-9021,35-3023.01,35-0000,35-9000,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9030,35-9031,35-3023.01,35-0000,35-9000,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9090,35-9031,35-3023.01,35-0000,35-9000,Miscellaneous Food Preparation and Serving Related Workers
35-9090,35-9099,35-3023.01,35-0000,35-9000,"Food Preparation and Serving Related Workers, All Other"
35-9090,35-9099,35-3023.01,37-0000,35-9000,Building and Grounds Cleaning and Maintenance Occupations
35-9090,35-9099,35-3023.01,37-0000,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers
37-1010,35-9099,35-3023.01,37-0000,37-1000,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers
37-1010,37-1011,35-3023.01,37-0000,37-1000,First-Line Supervisors of Housekeeping and Janitorial Workers
37-1010,37-1012,35-3023.01,37-0000,37-1000,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
37-1010,37-1012,35-3023.01,37-0000,37-2000,Building Cleaning and Pest Control Workers
37-2010,37-1012,35-3023.01,37-0000,37-2000,Building Cleaning Workers
37-2010,37-2011,35-3023.01,37-0000,37-2000,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37-2010,37-2012,35-3023.01,37-0000,37-2000,Maids and Housekeeping Cleaners
37-2010,37-2019,35-3023.01,37-0000,37-2000,"Building Cleaning Workers, All Other"
37-2020,37-2019,35-3023.01,37-0000,37-2000,Pest Control Workers
37-2020,37-2021,35-3023.01,37-0000,37-2000,Pest Control Workers
37-2020,37-2021,35-3023.01,37-0000,37-3000,Grounds Maintenance Workers
37-3010,37-2021,35-3023.01,37-0000,37-3000,Grounds Maintenance Workers
37-3010,37-3011,35-3023.01,37-0000,37-3000,Landscaping and Groundskeeping Workers
37-3010,37-3012,35-3023.01,37-0000,37-3000,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
37-3010,37-3013,35-3023.01,37-0000,37-3000,Tree Trimmers and Pruners
37-3010,37-3019,35-3023.01,37-0000,37-3000,"Grounds Maintenance Workers, All Other"
37-3010,37-3019,35-3023.01,39-0000,37-3000,Personal Care and Service Occupations
37-3010,37-3019,35-3023.01,39-0000,39-1000,Supervisors of Personal Care and Service Workers
39-1010,37-3019,35-3023.01,39-0000,39-1000,First-Line Supervisors of Entertainment and Recreation Workers
39-1010,39-1013,35-3023.01,39-0000,39-1000,First-Line Supervisors of Gambling Services Workers
39-1010,39-1014,35-3023.01,39-0000,39-1000,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
39-1020,39-1014,35-3023.01,39-0000,39-1000,First-Line Supervisors of Personal Service Workers
39-1020,39-1022,35-3023.01,39-0000,39-1000,First-Line Supervisors of Personal Service Workers
39-1020,39-1022,35-3023.01,39-0000,39-2000,Animal Care and Service Workers
39-2010,39-1022,35-3023.01,39-0000,39-2000,Animal Trainers
39-2010,39-2011,35-3023.01,39-0000,39-2000,Animal Trainers
39-2020,39-2011,35-3023.01,39-0000,39-2000,Animal Caretakers
39-2020,39-2021,35-3023.01,39-0000,39-2000,Animal Caretakers
39-2020,39-2021,35-3023.01,39-0000,39-3000,Entertainment Attendants and Related Workers
39-3010,39-2021,35-3023.01,39-0000,39-3000,Gambling Services Workers
39-3010,39-3011,35-3023.01,39-0000,39-3000,Gambling Dealers
39-3010,39-3012,35-3023.01,39-0000,39-3000,Gambling and Sports Book Writers and Runners
39-3010,39-3019,35-3023.01,39-0000,39-3000,"Gambling Service Workers, All Other"
39-3020,39-3019,35-3023.01,39-0000,39-3000,Motion Picture Projectionists
39-3020,39-3021,35-3023.01,39-0000,39-3000,Motion Picture Projectionists
39-3030,39-3021,35-3023.01,39-0000,39-3000,"Ushers, Lobby Attendants, and Ticket Takers"
39-3030,39-3031,35-3023.01,39-0000,39-3000,"Ushers, Lobby Attendants, and Ticket Takers"
39-3090,39-3031,35-3023.01,39-0000,39-3000,Miscellaneous Entertainment Attendants and Related Workers
39-3090,39-3091,35-3023.01,39-0000,39-3000,Amusement and Recreation Attendants
39-3090,39-3092,35-3023.01,39-0000,39-3000,Costume Attendants
39-3090,39-3093,35-3023.01,39-0000,39-3000,"Locker Room, Coatroom, and Dressing Room Attendants"
39-3090,39-3099,35-3023.01,39-0000,39-3000,"Entertainment Attendants and Related Workers, All Other"
39-3090,39-3099,35-3023.01,39-0000,39-4000,Funeral Service Workers
39-4010,39-3099,35-3023.01,39-0000,39-4000,Embalmers and Crematory Operators
39-4010,39-4011,35-3023.01,39-0000,39-4000,Embalmers
39-4010,39-4012,35-3023.01,39-0000,39-4000,Crematory Operators
39-4020,39-4012,35-3023.01,39-0000,39-4000,Funeral Attendants
39-4020,39-4021,35-3023.01,39-0000,39-4000,Funeral Attendants
39-4030,39-4021,35-3023.01,39-0000,39-4000,"Morticians, Undertakers, and Funeral Arrangers"
39-4030,39-4031,35-3023.01,39-0000,39-4000,"Morticians, Undertakers, and Funeral Arrangers"
39-4030,39-4031,35-3023.01,39-0000,39-5000,Personal Appearance Workers
39-5010,39-4031,35-3023.01,39-0000,39-5000,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
39-5010,39-5011,35-3023.01,39-0000,39-5000,Barbers
39-5010,39-5012,35-3023.01,39-0000,39-5000,"Hairdressers, Hairstylists, and Cosmetologists"
39-5090,39-5012,35-3023.01,39-0000,39-5000,Miscellaneous Personal Appearance Workers
39-5090,39-5091,35-3023.01,39-0000,39-5000,"Makeup Artists, Theatrical and Performance"
39-5090,39-5092,35-3023.01,39-0000,39-5000,Manicurists and Pedicurists
39-5090,39-5093,35-3023.01,39-0000,39-5000,Shampooers
39-5090,39-5094,35-3023.01,39-0000,39-5000,Skincare Specialists
39-5090,39-5094,35-3023.01,39-0000,39-6000,"Baggage Porters, Bellhops, and Concierges"
39-6010,39-5094,35-3023.01,39-0000,39-6000,"Baggage Porters, Bellhops, and Concierges"
39-6010,39-6011,35-3023.01,39-0000,39-6000,Baggage Porters and Bellhops
39-6010,39-6012,35-3023.01,39-0000,39-6000,Concierges
39-6010,39-6012,35-3023.01,39-0000,39-7000,Tour and Travel Guides
39-7010,39-6012,35-3023.01,39-0000,39-7000,Tour and Travel Guides
39-7010,39-7011,35-3023.01,39-0000,39-7000,Tour Guides and Escorts
39-7010,39-7012,35-3023.01,39-0000,39-7000,Travel Guides
39-7010,39-7012,35-3023.01,39-0000,39-9000,Other Personal Care and Service Workers
39-9010,39-7012,35-3023.01,39-0000,39-9000,Childcare Workers
39-9010,39-9011,35-3023.01,39-0000,39-9000,Childcare Workers
39-9010,39-9011,39-9011.01,39-0000,39-9000,Nannies
39-9030,39-9011,39-9011.01,39-0000,39-9000,Recreation and Fitness Workers
39-9030,39-9031,39-9011.01,39-0000,39-9000,Exercise Trainers and Group Fitness Instructors
39-9030,39-9032,39-9011.01,39-0000,39-9000,Recreation Workers
39-9040,39-9032,39-9011.01,39-0000,39-9000,Residential Advisors
39-9040,39-9041,39-9011.01,39-0000,39-9000,Residential Advisors
39-9090,39-9041,39-9011.01,39-0000,39-9000,Miscellaneous Personal Care and Service Workers
39-9090,39-9099,39-9011.01,39-0000,39-9000,"Personal Care and Service Workers, All Other"
39-9090,39-9099,39-9011.01,41-0000,39-9000,Sales and Related Occupations
39-9090,39-9099,39-9011.01,41-0000,41-1000,Supervisors of Sales Workers
41-1010,39-9099,39-9011.01,41-0000,41-1000,First-Line Supervisors of Sales Workers
41-1010,41-1011,39-9011.01,41-0000,41-1000,First-Line Supervisors of Retail Sales Workers
41-1010,41-1012,39-9011.01,41-0000,41-1000,First-Line Supervisors of Non-Retail Sales Workers
41-1010,41-1012,39-9011.01,41-0000,41-2000,Retail Sales Workers
41-2010,41-1012,39-9011.01,41-0000,41-2000,Cashiers
41-2010,41-2011,39-9011.01,41-0000,41-2000,Cashiers
41-2010,41-2012,39-9011.01,41-0000,41-2000,Gambling Change Persons and Booth Cashiers
41-2020,41-2012,39-9011.01,41-0000,41-2000,Counter and Rental Clerks and Parts Salespersons
41-2020,41-2021,39-9011.01,41-0000,41-2000,Counter and Rental Clerks
41-2020,41-2022,39-9011.01,41-0000,41-2000,Parts Salespersons
41-2030,41-2022,39-9011.01,41-0000,41-2000,Retail Salespersons
41-2030,41-2031,39-9011.01,41-0000,41-2000,Retail Salespersons
41-2030,41-2031,39-9011.01,41-0000,41-3000,"Sales Representatives, Services"
41-3010,41-2031,39-9011.01,41-0000,41-3000,Advertising Sales Agents
41-3010,41-3011,39-9011.01,41-0000,41-3000,Advertising Sales Agents
41-3020,41-3011,39-9011.01,41-0000,41-3000,Insurance Sales Agents
41-3020,41-3021,39-9011.01,41-0000,41-3000,Insurance Sales Agents
41-3030,41-3021,39-9011.01,41-0000,41-3000,"Securities, Commodities, and Financial Services Sales Agents"
41-3030,41-3031,39-9011.01,41-0000,41-3000,"Securities, Commodities, and Financial Services Sales Agents"
41-3040,41-3031,39-9011.01,41-0000,41-3000,Travel Agents
41-3040,41-3041,39-9011.01,41-0000,41-3000,Travel Agents
41-3090,41-3041,39-9011.01,41-0000,41-3000,"Miscellaneous Sales Representatives, Services"
41-3090,41-3091,39-9011.01,41-0000,41-3000,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
41-3090,41-3091,39-9011.01,41-0000,41-4000,"Sales Representatives, Wholesale and Manufacturing"
41-4010,41-3091,39-9011.01,41-0000,41-4000,"Sales Representatives, Wholesale and Manufacturing"
41-4010,41-4011,39-9011.01,41-0000,41-4000,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
41-4010,41-4011,41-4011.07,41-0000,41-4000,Solar Sales Representatives and Assessors
41-4010,41-4012,41-4011.07,41-0000,41-4000,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
41-4010,41-4012,41-4011.07,41-0000,41-9000,Other Sales and Related Workers
41-9010,41-4012,41-4011.07,41-0000,41-9000,"Models, Demonstrators, and Product Promoters"
41-9010,41-9011,41-4011.07,41-0000,41-9000,Demonstrators and Product Promoters
41-9010,41-9012,41-4011.07,41-0000,41-9000,Models
41-9020,41-9012,41-4011.07,41-0000,41-9000,Real Estate Brokers and Sales Agents
41-9020,41-9021,41-4011.07,41-0000,41-9000,Real Estate Brokers
41-9020,41-9022,41-4011.07,41-0000,41-9000,Real Estate Sales Agents
41-9030,41-9022,41-4011.07,41-0000,41-9000,Sales Engineers
41-9030,41-9031,41-4011.07,41-0000,41-9000,Sales Engineers
41-9040,41-9031,41-4011.07,41-0000,41-9000,Telemarketers
41-9040,41-9041,41-4011.07,41-0000,41-9000,Telemarketers
41-9090,41-9041,41-4011.07,41-0000,41-9000,Miscellaneous Sales and Related Workers
41-9090,41-9091,41-4011.07,41-0000,41-9000,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers"
41-9090,41-9099,41-4011.07,41-0000,41-9000,"Sales and Related Workers, All Other"
41-9090,41-9099,41-4011.07,43-0000,41-9000,Office and Administrative Support Occupations
41-9090,41-9099,41-4011.07,43-0000,43-1000,Supervisors of Office and Administrative Support Workers
43-1010,41-9099,41-4011.07,43-0000,43-1000,First-Line Supervisors of Office and Administrative Support Workers
43-1010,43-1011,41-4011.07,43-0000,43-1000,First-Line Supervisors of Office and Administrative Support Workers
43-1010,43-1011,41-4011.07,43-0000,43-2000,Communications Equipment Operators
43-2010,43-1011,41-4011.07,43-0000,43-2000,"Switchboard Operators, Including Answering Service"
43-2010,43-2011,41-4011.07,43-0000,43-2000,"Switchboard Operators, Including Answering Service"
43-2020,43-2011,41-4011.07,43-0000,43-2000,Telephone Operators
43-2020,43-2021,41-4011.07,43-0000,43-2000,Telephone Operators
43-2090,43-2021,41-4011.07,43-0000,43-2000,Miscellaneous Communications Equipment Operators
43-2090,43-2099,41-4011.07,43-0000,43-2000,"Communications Equipment Operators, All Other"
43-2090,43-2099,41-4011.07,43-0000,43-3000,Financial Clerks
43-3010,43-2099,41-4011.07,43-0000,43-3000,Bill and Account Collectors
43-3010,43-3011,41-4011.07,43-0000,43-3000,Bill and Account Collectors
43-3020,43-3011,41-4011.07,43-0000,43-3000,Billing and Posting Clerks
43-3020,43-3021,41-4011.07,43-0000,43-3000,Billing and Posting Clerks
43-3030,43-3021,41-4011.07,43-0000,43-3000,"Bookkeeping, Accounting, and Auditing Clerks"
43-3030,43-3031,41-4011.07,43-0000,43-3000,"Bookkeeping, Accounting, and Auditing Clerks"
43-3040,43-3031,41-4011.07,43-0000,43-3000,Gambling Cage Workers
43-3040,43-3041,41-4011.07,43-0000,43-3000,Gambling Cage Workers
43-3050,43-3041,41-4011.07,43-0000,43-3000,Payroll and Timekeeping Clerks
43-3050,43-3051,41-4011.07,43-0000,43-3000,Payroll and Timekeeping Clerks
43-3060,43-3051,41-4011.07,43-0000,43-3000,Procurement Clerks
43-3060,43-3061,41-4011.07,43-0000,43-3000,Procurement Clerks
43-3070,43-3061,41-4011.07,43-0000,43-3000,Tellers
43-3070,43-3071,41-4011.07,43-0000,43-3000,Tellers
43-3090,43-3071,41-4011.07,43-0000,43-3000,Miscellaneous Financial Clerks
43-3090,43-3099,41-4011.07,43-0000,43-3000,"Financial Clerks, All Other"
43-3090,43-3099,41-4011.07,43-0000,43-4000,Information and Record Clerks
43-4010,43-3099,41-4011.07,43-0000,43-4000,Brokerage Clerks
43-4010,43-4011,41-4011.07,43-0000,43-4000,Brokerage Clerks
43-4020,43-4011,41-4011.07,43-0000,43-4000,Correspondence Clerks
43-4020,43-4021,41-4011.07,43-0000,43-4000,Correspondence Clerks
43-4030,43-4021,41-4011.07,43-0000,43-4000,"Court, Municipal, and License Clerks"
43-4030,43-4031,41-4011.07,43-0000,43-4000,"Court, Municipal, and License Clerks"
43-4040,43-4031,41-4011.07,43-0000,43-4000,"Credit Authorizers, Checkers, and Clerks"
43-4040,43-4041,41-4011.07,43-0000,43-4000,"Credit Authorizers, Checkers, and Clerks"
43-4050,43-4041,41-4011.07,43-0000,43-4000,Customer Service Representatives
43-4050,43-4051,41-4011.07,43-0000,43-4000,Customer Service Representatives
43-4060,43-4051,41-4011.07,43-0000,43-4000,"Eligibility Interviewers, Government Programs"
43-4060,43-4061,41-4011.07,43-0000,43-4000,"Eligibility Interviewers, Government Programs"
43-4070,43-4061,41-4011.07,43-0000,43-4000,File Clerks
43-4070,43-4071,41-4011.07,43-0000,43-4000,File Clerks
