2010_eeo_tabulation_census_code,2010_eeo_tabulation_census_occupation_title,2010_soc_code,opm_series_category,opm_series_number,opm_series_title
3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,29-9000,SANITARIAN,GS-0688,Sanitarian
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,GENERAL STUDENT TRAINEE,GS-0099,Student Trainee (Protective Services)
0630,HUMAN RESOURCES WORKERS,13-1070,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,GS-0299,Student Trainee (Human Resources)
0630,HUMAN RESOURCES WORKERS,13-1070,HUMAN RESOURCES MANAGEMENT STUDENT TRAINEE,GS-0299,Student Trainee (EEO)
5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",43-9,ADMINISTRATION  OFFICE SUPPORT STUDENT TRAINEE,GS-0399,Student Trainee (General)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,EQUIPMENT FACILITIES  SERVICES STUDENT TRAINEE,GS-1699,Student Trainee (Facilities Management)
740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER#",13-1199,SUPPLY STUDENT TRAINEE,GS-2099,Student Trainee (Supply Management)
1700,ASTRONOMERS & PHYSICISTS,19-2010,ASTRONOMY  SPACE SCIENCE,GS-1330,Astrophysicist
1700,ASTRONOMERS & PHYSICISTS,19-2010,ASTRONOMY  SPACE SCIENCE,GS-1330,Space Scientist
1700,ASTRONOMERS & PHYSICISTS,19-2010,ASTRONOMY  SPACE SCIENCE,GS-1330,Space Science
1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS,19-2040,OCEANOGRAPHY,GS-1360,Oceanographer
1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS,19-2040,GEOPHYSICS,GS-1313,Geophysicist
1610,BIOLOGICAL SCIENTISTS,19-1020,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,GS-0401,Biological Studies
1820,PSYCHOLOGISTS,19-3030,PSYCHOLOGY,GS-0180,Psychologist
3060,PHYSICIANS & SURGEONS,29-1060,PHYSICIAN,GS-0602,Medical Officer
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Human/Machine Systems
1610,BIOLOGICAL SCIENTISTS,19-1020,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,GS-0401,Life Sciences Research
1320,AEROSPACE ENGINEERS,17-2011,AEROSPACE ENGINEERING,GS-0861,Aerospace Engineer
1450,MATERIALS ENGINEERS,17-2131,MATERIALS ENGINEERING,GS-0806,Materials Engineer
1350,CHEMICAL ENGINEERS,17-2041,CHEMICAL ENGINEERING,GS-0893,Chemical Engineer
1410,ELECTRICAL & ELECTRONIC ENGINEERS,17-2070,ELECTRICAL ENGINEERING,GS-0850,Electrical Engineer
1460,MECHANICAL ENGINEERS,17-2141,MECHANICAL ENGINEERING,GS-0830,Mechanical Engineer
1410,ELECTRICAL & ELECTRONIC ENGINEERS,17-2070,ELECTRONICS ENGINEERING,GS-0855,Electronics Engineer
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Control Systems
1400,COMPUTER HARDWARE ENGINEERS,17-2061,COMPUTER ENGINEERING,GS-0854,Computer Engineer
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Experimental Facilities Development
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Facilities Systems Safety
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Facilities and Environmental Factors
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Gas and Fluid Systems
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Experimental Facilities Techniques
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Aerospace Environmental Control Techniques
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Aerospace Experimental Facilities and Test Technologies
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Flight Training
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Flight Systems Operations
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Mission Support Requirements and Development
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Mission Operations Integration
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Management Astronaut
1760,"PHYSICAL SCIENTISTS, ALL OTHER",19-2099,GENERAL PHYSICAL SCIENCE,GS-1301,**
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Astronaut
1610,BIOLOGICAL SCIENTISTS,19-1020,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,GS-0401,**
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Operations
3060,PHYSICIANS & SURGEONS,29-1060,PHYSICIAN,GS-0602,Medical Officer
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Launch and Flight Operations
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Aircraft Mission Operations
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-00GA,Educator Astronaut
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Flight Systems Training and Operations
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Payload Processing Operations
Unknown,GS-Unknown,-,GSUnknown,UNKNOWN,GS-Unknown
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Engineering Project Management
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Technical Management
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Technical Resources Management
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Technical Engineering Operations Management
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Engineering Technology Utilization and Commercialization
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Launch Site Support Management
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Engineering Program Management
1530,"MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS",17-21,GENERAL ENGINEERING,GS-0801,Logistics Engineering Management
Unknown,GS-Unknown,-,GSUnknown,UNKNOWN,Expert
Unknown,GS-Unknown,-,GSUnknown,UNKNOWN,Consultant
1350,CHEMICAL ENGINEERS,17-2041,CHEMICAL ENGINEERING,GS-0899,Student Trainee (Engineering)
1760,"PHYSICAL SCIENTISTS, ALL OTHER",19-2099,PHYSICAL SCIENCE STUDENT TRAINEE,GS-1399,Student Trainee (Physical Science)
3060,PHYSICIANS & SURGEONS,29-1060,PHYSICIAN,GS-0602,Medical Officer (Aviation Medicine)
3060,PHYSICIANS & SURGEONS,29-1060,PHYSICIAN,GS-0602,Medical Officer (Occupational Medicine)
3060,PHYSICIANS & SURGEONS,29-1060,PHYSICIAN,GS-0602,Medical Officer
1820,PSYCHOLOGISTS,19-3030,PSYCHOLOGY,GS-0180,Psychologist
1610,BIOLOGICAL SCIENTISTS,19-1020,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,GS-0401,Biological Scientist
1610,BIOLOGICAL SCIENTISTS,19-1020,MICROBIOLOGY,GS-0403,Microbiologist
1640,CONSERVATION SCIENTISTS & FORESTERS,19-1030,ECOLOGY,GS-0408,Ecologist
1650,"MEDICAL SCIENTISTS, & LIFE SCIENTISTS, ALL OTHER",19-10,PHYSIOLOGY,GS-0413,Physiologist
3255,REGISTERED NURSES,29-1141,NURSING,GS-0610,Nurse
3250,VETERINARIANS,29-1131,VETERINARY MEDICAL SCIENCE,GS-0701,Veterinary Medical Officer
3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,29-9000,INDUSTRIAL HYGIENE,GS-0690,Industrial Hygienist
1610,BIOLOGICAL SCIENTISTS,19-1020,ZOOLOGY,GS-0410,Zoologist
1600,AGRICULTURAL & FOOD SCIENTISTS,19-1010,BOTANY,GS-0430,Botanist
1600,AGRICULTURAL & FOOD SCIENTISTS,19-1010,PLANT PHYSIOLOGY,GS-0435,Plant Physiologist
3260,"HEALTH DIAGNOSING & TREATING PRACTITIONERS, ALL OTHER",29-1199,GENERAL MEDICAL AND HEALTHCARE,GS-0601,Health Scientist
3030,DIETICIANS & NUTRITIONISTS,29-1031,DIETETICS  NUTRITION,GS-0630,Dietitian
710,MANAGEMENT ANALYSTS,13-1111,HEALTH SYSTEM SPECIALIST,GS-0671,Health System Specialist
3260,"HEALTH DIAGNOSING & TREATING PRACTITIONERS, ALL OTHER",29-1199,GENERAL MEDICAL AND HEALTHCARE,GS-0601,Expert (Health Science)
3260,"HEALTH DIAGNOSING & TREATING PRACTITIONERS, ALL OTHER",29-1199,GENERAL MEDICAL AND HEALTHCARE,GS-0601,Consultant (Health Science)
3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS,29-9000,MEDICAL  HEALTH STUDENT TRAINEE,GS-0699,Student Trainee (Health Science)
