Master Task List,Unnamed: 1,Click to return to the Table of Contents,Unnamed: 3
T0741,Maintain situational awareness of cyber-related intelligence requirements and associated tasking.,,
T0742,Maintain situational awareness of partner capabilities and activities.,,
T0743,Maintain situational awareness to determine if changes to the operating environment require review of the plan.,,
T0744,"Maintain target lists (i.e., RTL, JTL, CTL, etc.).",,
T0745,Make recommendations to guide collection in support of customer requirements.,,
T0746,Modify collection requirements as necessary.,,
T0747,Monitor and evaluate integrated cyber operations to identify opportunities to meet organization objectives.,,
T0748,"Monitor and report changes in threat dispositions, activities, tactics, capabilities, objectives, etc. as related to designated cyber operations warning problem sets.",,
T0749,Monitor and report on validated threat activities.,,
T0750,Monitor completion of reallocated collection efforts.,,
T0751,Monitor open source websites for hostile content directed towards organizational or partner interests.,,
T0752,Monitor operational environment and report on adversarial activities which fulfill leadership’s priority information requirements.,,
T0753,"Monitor operational status and effectiveness of the processing, exploitation and dissemination architecture.",,
T0754,Monitor target networks to provide indications and warning of target communications changes or processing failures.,,
T0755,Monitor the operational environment for potential factors and risks to the collection operation management process.,,
T0756,Operate and maintain automated systems for gaining and maintaining access to target systems.,,
T0757,Optimize mix of collection assets and resources to increase effectiveness and efficiency against essential information associated with priority intelligence requirements.,,
T0758,"Produce timely, fused, all-source cyber operations intelligence and/or indications and warnings intelligence products (e.g., threat assessments, briefings, intelligence studies, country studies).",,
T0759,"Contribute to the review and refinement of policy, to include assessments of the consequences of endorsing or not endorsing such policy.",,
T0760,"Provide subject matter expertise to planning teams, coordination groups, and task forces as necessary.",,
T0761,Provide subject-matter expertise and support to planning/developmental forums and working groups as appropriate.,,
T0762,WITHDRAWN: Provide subject matter expertise in course of action development.,X,
T0763,"Conduct long-range, strategic planning efforts with internal and external partners in cyber activities.",,
T0764,Provide subject matter expertise to planning efforts with internal and external cyber operations partners.,,
T0765,Provide subject matter expertise to development of exercises.,,
T0766,Propose policy which governs interactions with external coordination groups.,,
T0767,Perform content and/or metadata analysis to meet organization objectives.,,
T0768,Conduct cyber activities to degrade/remove information resident in computers and computer networks.,,
T0769,Perform targeting automation activities.,,
T0770,Characterize websites.,,
T0771,Provide subject matter expertise to website characterizations.,,
T0772,Prepare for and provide subject matter expertise to exercises.,,
T0773,Prioritize collection requirements for collection platforms based on platform capabilities.,,
T0774,Process exfiltrated data for analysis and/or dissemination to customers.,,
T0775,Produce network reconstructions.,,
T0776,Produce target system analysis products.,,
T0777,Profile network or system administrators and their activities.,,
T0778,Profile targets and their activities.,,
T0779,Provide advice/assistance to operations and intelligence decision makers with reassignment of collection assets and resources in response to dynamic operational situations.,,
T0780,Provide advisory and advocacy support to promote collection planning as an integrated component of the strategic campaign plans and other adaptive plans.,,
T0781,Provide aim point and reengagement recommendations.,,
T0782,Provide analyses and support for effectiveness assessment.,,
T0783,Provide current intelligence support to critical internal/external stakeholders as appropriate.,,
T0784,Provide cyber focused guidance and advice on intelligence support plan inputs.,,
T0785,"Provide evaluation and feedback necessary for improving intelligence production, intelligence reporting, collection requirements, and operations.",,
T0786,Provide information and assessments for the purposes of informing leadership and customers; developing and refining objectives; supporting operation planning and execution; and assessing the effects of operations.,,
T0787,"Provide input for the development and refinement of the cyber operations objectives, priorities, strategies, plans, and programs.",,
T0788,Provide input and assist in post-action effectiveness assessments.,,
T0789,Provide input and assist in the development of plans and guidance.,,
T0790,Provide input for targeting effectiveness assessments for leadership acceptance.,,
T0791,Provide input to the administrative and logistical elements of an operational support plan.,,
T0792,"Provide intelligence analysis and support to designated exercises, planning activities, and time sensitive operations.",,
T0793,"Provide effectiveness support to designated exercises, and/or time sensitive operations.",,
T0794,Provide operations and reengagement recommendations.,,
T0795,Provide planning support between internal and external partners.,,
T0796,Provide real-time actionable geolocation information.,,
T0797,Provide target recommendations which meet leadership objectives.,,
T0798,Provide targeting products and targeting support as designated.,,
T0799,Provide time sensitive targeting support. ,,
T0800,"Provide timely notice of imminent or hostile intentions or activities which may impact organization objectives, resources, or capabilities.",,
T0801,"Recommend refinement, adaption, termination, and execution of operational plans as appropriate.",,
T0802,Review appropriate information sources to determine validity and relevance of information gathered.,,
T0803,Reconstruct networks in diagram or report format.,,
T0804,Record information collection and/or environment preparation activities against targets during operations designed to achieve cyber effects.,,
T0805,Report intelligence-derived significant network events and intrusions.,,
T0806,"Request discipline-specific processing, exploitation, and disseminate information collected using discipline's collection assets and resources in accordance with approved guidance and/or procedures.",,
T0807,"Research communications trends in emerging technologies (in computer and telephony networks, satellite, cable, and wireless) in both open and classified sources.",,
T0808,Review and comprehend organizational leadership objectives and guidance for planning.,,
T0809,Review capabilities of allocated collection assets.,,
T0810,Review intelligence collection guidance for accuracy/applicability.,,
T0811,Review list of prioritized collection requirements and essential information.,,
T0812,"Review and update overarching collection plan, as required.",,
T0813,"Review, approve, prioritize, and submit operational requirements for research, development, and/or acquisition of cyber capabilities.",,
T0814,Revise collection matrix based on availability of optimal assets and resources.,,
T0815,Sanitize and minimize information to protect sources and methods. ,,
T0816,Scope the cyber intelligence planning effort.,,
T0817,Serve as a conduit of information from partner teams by identifying subject matter experts who can assist in the investigation of complex or unusual situations.,,
T0818,Serve as a liaison with external partners.,,
T0819,"Solicit and manage to completion feedback from requestors on quality, timeliness, and effectiveness of collection against collection requirements.",,
T0820,Specify changes to collection plan and/or operational environment that necessitate re-tasking or re-directing of collection assets and resources.,,
T0821,Specify discipline-specific collections and/or taskings that must be executed in the near term.,,
T0822,Submit information requests to collection requirement management section for processing as collection requests.,,
T0823,Submit or respond to requests for deconfliction of cyber operations.,,
T0824,Support identification and documentation of collateral effects.,,
T0825,Synchronize cyber international engagement activities and associated resource requirements as appropriate.,,
T0826,Synchronize cyber portions of security cooperation plans.,,
T0827,Synchronize the integrated employment of all available organic and partner intelligence collection assets using available collaboration capabilities and techniques.,,
T0828,Test and evaluate locally developed tools for operational use.,,
T0829,Test internal developed tools and techniques against target tools. ,,
T0830,"Track status of information requests, including those processed as collection requests and production requirements, using established procedures.",,
T0831,Translate collection requests into applicable discipline-specific collection requirements.,,
T0832,"Use feedback results (e.g., lesson learned) to identify opportunities to improve collection management efficiency and effectiveness.",,
T0833,Validate requests for information according to established criteria.,,
T0834,"Work closely with planners, intelligence analysts, and collection managers to ensure intelligence requirements and collection plans are accurate and up-to-date.",,
T0835,"Work closely with planners, analysts, and collection managers to identify intelligence gaps and ensure intelligence requirements are accurate and up-to-date.",,
T0836,Document lessons learned that convey the results of events and/or exercises.,,
T0837,Advise managers and operators on language and cultural issues that impact organization objectives.,,
T0838,Analyze and process information using language and/or cultural expertise.,,
T0839,"Assess, document, and apply a target's motivation and/or frame of reference to facilitate analysis, targeting and collection opportunities.",,
T0840,"Collaborate across internal and/or external organizational lines to enhance collection, analysis and dissemination.",,
T0841,Conduct all-source target research to include the use of open source materials in the target language. ,,
T0842,Conduct analysis of target communications to identify essential information in support of organization objectives. ,,
T0843,Perform quality review and provide feedback on transcribed or translated materials.,,
T0844,"Evaluate and interpret metadata to look for patterns, anomalies, or events, thereby optimizing targeting, analysis and processing.",,
T0845,Identify cyber threat tactics and methodologies.,,
T0846,Identify target communications within the global network.,,
T0847,"Maintain awareness of target communication tools, techniques, and the characteristics of target communication networks (e.g., capacity, functionality, paths, critical nodes) and their potential implications for targeting, collection, and analysis.",,
T0848,Provide feedback to collection managers to enhance future collection and analysis.,,
T0849,Perform foreign language and dialect identification in initial source data.,,
T0850,Perform or support technical network analysis and mapping. ,,
T0851,Provide requirements and feedback to optimize the development of language processing tools.,,
T0852,Perform social network analysis and document as appropriate. ,,
T0853,"Scan, identify and prioritize target graphic (including machine-to-machine communications) and/or voice language material.",,
T0854,Tip critical or time-sensitive information to appropriate customers. ,,
T0855,Transcribe target voice materials in the target language. ,,
T0856,"Translate (e.g., verbatim, gist, and/or summaries) target graphic material.",,
T0857,"Translate (e.g., verbatim, gist, and/or summaries) target voice material.",,
T0858,"Identify foreign language terminology within computer programs (e.g., comments, variable names).",,
T0859,"Provide near-real time language analysis support (e.g., live operations). ",,
T0860,Identify cyber/technology-related terminology in the target language.,,
T0861,"Work with the general counsel, external affairs and businesses to ensure both existing and new services comply with privacy and data security obligations.",,
T0862,"Work with legal counsel and management, key departments and committees to ensure the organization has and maintains appropriate privacy and confidentiality consent, authorization forms and information notices and materials reflecting current organization and legal practices and requirements.",,
T0863,"Coordinate with the appropriate regulating bodies to ensure that programs, policies and procedures involving civil rights, civil liberties and privacy considerations are addressed in an integrated and comprehensive manner.",,
T0864,Liaise with regulatory and accrediting bodies.,,
T0865,Work with external affairs to develop relationships with regulators and other government officials responsible for privacy and data security issues.,,
T0866,"Maintain current knowledge of applicable federal and state privacy laws and accreditation standards, and monitor advancements in information privacy technologies to ensure organizational adaptation and compliance.",,
T0867,Ensure all processing and/or databases are registered with the local privacy/data protection authorities where required.,,
T0868,Work with business teams and senior management to ensure awareness of “best practices” on privacy and data security issues.,,
T0869,Work with organization senior management to establish an organization-wide Privacy Oversight Committee,,
T0870,Serve in a leadership role for Privacy Oversight Committee activities,,
T0871,Collaborate on cyber privacy and security policies and procedures,,
T0872,Collaborate with cybersecurity personnel on the security risk assessment process to address privacy compliance and risk mitigation,,
T0873,"Interface with Senior Management to develop strategic plans for the collection, use and sharing of information in a manner that maximizes its value while complying with applicable privacy regulations",,
T0874,Provide strategic guidance to corporate officers regarding information resources and technology,,
T0875,Assist the Security Officer with the development and implementation of an information infrastructure,,
T0876,Coordinate with the Corporate Compliance Officer regarding procedures for documenting and reporting self-disclosures of any evidence of privacy violations.,,
T0877,Work cooperatively with applicable organization units in overseeing consumer information access rights,,
T0878,Serve as the information privacy liaison for users of technology systems,,
T0879,Act as a liaison to the information systems department,,
T0880,"Develop privacy training materials and other communications to increase employee understanding of company privacy policies, data handling practices and procedures and legal obligations",,
T0881,"Oversee, direct, deliver or ensure delivery of initial privacy training and orientation to all employees, volunteers, contractors, alliances, business associates and other appropriate third parties",,
T0882,Conduct on-going privacy training and awareness activities,,
T0883,Work with external affairs to develop relationships with consumer organizations and other NGOs with an interest in privacy and data security issues—and to manage company participation in public events related to privacy and data security,,
T0884,"Work with organization administration, legal counsel and other related parties to represent the organization’s information privacy interests with external parties, including government bodies, which undertake to adopt or amend privacy legislation, regulation or standard.",,
T0885,"Report on a periodic basis regarding the status of the privacy program to the Board, CEO or other responsible individual or committee",,
T0886,Work with External Affairs to respond to press and other inquiries regarding concern over consumer and employee data,,
T0887,Provide leadership for the organization’s privacy program,,
T0888,Direct and oversee privacy specialists and coordinate privacy and data security programs with senior executives globally to ensure consistency across the organization,,
T0889,"Ensure compliance with privacy practices and consistent application of sanctions for failure to comply with privacy policies for all individuals in the organization’s workforce, extended workforce and for all business associates in cooperation with Human Resources, the information security officer, administration and legal counsel as applicable",,
T0890,Develop appropriate sanctions for failure to comply with the corporate privacy policies and procedures,,
T0891,Resolve allegations of noncompliance with the corporate privacy policies or notice of information practices,,
T0892,Develop and coordinate a risk management and compliance framework for privacy,,
T0893,Undertake a comprehensive review of the company’s data and privacy projects and ensure that they are consistent with corporate privacy and data security goals and policies.,,
T0894,Develop and manage enterprise-wide procedures to ensure the development of new products and services is consistent with company privacy policies and legal obligations,,
T0895,"Establish a process for receiving, documenting, tracking, investigating and acting on all complaints concerning the organization’s privacy policies and procedures",,
T0896,"Establish with management and operations a mechanism to track access to protected health information, within the purview of the organization and as required by law and to allow qualified individuals to review or receive a report on such activity",,
T0897,"Provide leadership in the planning, design and evaluation of privacy and security related projects",,
T0898,Establish an internal privacy audit program,,
T0899,"Periodically revise the privacy program considering changes in laws, regulatory or company policy",,
T0900,"Provide development guidance and assist in the identification, implementation and maintenance of organization information privacy policies and procedures in coordination with organization management and administration and legal counsel",,
T0901,"Assure that the use of technologies maintains, and does not erode, privacy protections on use, collection and disclosure of personal information",,
T0902,Monitor systems development and operations for security and privacy compliance,,
T0903,"Conduct privacy impact assessments of proposed rules on the privacy of personal information, including the type of personal information collected and the number of people affected",,
T0904,Conduct periodic information privacy impact assessments and ongoing compliance monitoring activities in coordination with the organization’s other compliance and operational assessment functions,,
T0905,Review all system-related information security plans to ensure alignment between security and privacy practices,,
T0906,"Work with all organization personnel involved with any aspect of release of protected information to ensure coordination with the organization’s policies, procedures and legal requirements",,
T0907,Account for and administer individual requests for release or disclosure of personal and/or protected information,,
T0908,Develop and manage procedures for vetting and auditing vendors for compliance with the privacy and data security policies and legal requirements,,
T0909,"Participate in the implementation and ongoing compliance monitoring of all trading partner and business associate agreements, to ensure all privacy concerns, requirements and responsibilities are addressed",,
T0910,"Act as, or work with, counsel relating to business partner contracts",,
T0911,Mitigate effects of a use or disclosure of personal information by employees or business partners,,
T0912,Develop and apply corrective action procedures,,
T0913,"Administer action on all complaints concerning the organization’s privacy policies and procedures in coordination and collaboration with other similar functions and, when necessary, legal counsel",,
T0914,"Support the organization’s privacy compliance program, working closely with the Privacy Officer, Chief Information Security Officer, and other business leaders to ensure compliance with federal and state privacy laws and regulations ",,
T0915,Identify and correct potential company compliance gaps and/or areas of risk to ensure full compliance with privacy regulations,,
T0916,"Manage privacy incidents and breaches in conjunction with the Privacy Officer, Chief Information Security Officer, legal counsel and the business units",,
T0917,Coordinate with the Chief Information Security Officer to ensure alignment between security and privacy practices,,
T0918,"Establish, implement and maintains organization-wide policies and procedures to comply with privacy regulations",,
T0919,"Ensure that the company maintains appropriate privacy and confidentiality notices, consent and authorization forms, and materials",,
T0920,"Develop and maintain appropriate communications and training to promote and educate all workforce members and members of the Board regarding privacy compliance issues and requirements, and the consequences of noncompliance",,
T0921,Determine business partner requirements related to the organization’s privacy program.,,
T0922,"Establish and administer a process for receiving, documenting, tracking, investigating and taking corrective action as appropriate on complaints concerning the company’s privacy policies and procedures.",,
T0923,"Cooperate with the relevant regulatory agencies and other legal entities, and organization officers, in any compliance reviews or investigations.",,
T0924,Perform ongoing privacy compliance monitoring activities.,,
T0925,Monitor advancements in information privacy technologies to ensure organization adoption and compliance.,,
T0926,"Develop or assist with the development of privacy training materials and other communications to increase employee understanding of company privacy policies, data handling practices and procedures and legal obligations.",,
T0927,Appoint and guide a team of IT security experts.,,
T0928,Collaborate with key stakeholders to establish a cybersecurity risk management program.,,
T0929,Identify and assign individuals to specific roles associated with the execution of the Risk Management Framework.,,
T0930,Establish a risk management strategy for the organization that includes a determination of risk tolerance.,,
T0931,"Identify the missions, business functions, and mission/business processes the system will support.",,
T0932,"Identify stakeholders who have a security interest in the development, implementation, operation, or sustainment of a system.",,
T0933,"Identify stakeholders who have a security interest in the development, implementation, operation, or sustainment of a system.",,
T0934,Identify stakeholder assets that require protection.,,
T0935,Conduct an initial risk assessment of stakeholder assets and update the risk assessment on an ongoing basis.,,
T0936,Define the stakeholder protection needs and stakeholder security requirements.,,
T0937,Determine the placement of a system within the enterprise architecture.,,
T0938,Identify organization-wide common controls that are available for inheritance by organizational systems.,,
T0939,Conduct a second-level security categorization for organizational systems with the same impact level.,,
T0940,Determine the boundary of a system.,,
T0941,Identify the security requirements allocated to a system and to the organization.,,
T0942,"Identify the types of information to be processed, stored, or transmitted by a system.",,
T0943,Categorize the system and document the security categorization results as part of system requirements.,,
T0944,Describe the characteristics of a system.,,
T0945,Register the system with appropriate organizational program/management offices.,,
T0946,Select the security controls for a system and document the functional description of the planned control implementations in a security plan.,,
T0947,Develop a strategy for monitoring security control effectiveness; coordinate the system-level strategy with the organization and mission/business process-level monitoring strategy.,,
T0948,Review and approve security plans.,,
T0949,Implement the security controls specified in a security plan or other system documentation.,,
T0950,Document changes to planned security control implementation and establish the configuration baseline for a system.,,
T0951,"Develop, review, and approve a plan to assess the security controls in a system and the organization.",,
T0952,Assess the security controls in accordance with the assessment procedures defined in a security assessment plan.,,
T0953,"Prepare a security assessment report documenting the issues, findings, and recommendations from the security control assessment.",,
T0954,Conduct initial remediation actions on security controls based on the findings and recommendations of a security assessment report; reassess remediated controls.,,
T0955,Prepare a plan of action and milestones based on the findings and recommendations of a security assessment report excluding any remediation actions taken.,,
T0956,Assemble an authorization package and submit the package to an authorizing official for adjudication.,,
T0957,Determine the risk from the operation or use of a system or the provision or use of common controls.,,
T0958,Identify and implement a preferred course of action in response to the risk determined.,,
T0959,"Determine if the risk from the operation or use of the system or the provision or use of common controls, is acceptable.",,
T0960,Monitor changes to a system and its environment of operation.,,
T0961,Assess the security controls employed within and inherited by the system in accordance with an organization-defined monitoring strategy.,,
T0962,"Respond to risk based on the results of ongoing monitoring activities, assessment of risk, and outstanding items in a plan of action and milestones.",,
T0963,"Update a security plan, security assessment report, and plan of action and milestones based on the results of a continuous monitoring process.",,
T0964,Report the security status of a system (including the effectiveness of security controls) to an authorizing official on an ongoing basis in accordance with the monitoring strategy.,,
T0965,Review the security status of a system (including the effectiveness of security controls) on an ongoing basis to determine whether the risk remains acceptable.,,
T0966,Implement a system disposal strategy which executes required actions when a system is removed from service.,,
T0967,Sponsor and promote continuous monitoring within the organization.,,
T0968,Assign staff as needed to appropriate continuous monitoring working groups.,,
T0969,Identify reporting requirements to support continuous monitoring activities.,,
T0970,Establish scoring and grading metrics to measure effectiveness of continuous monitoring program.,,
T0971,Determine how to integrate a continuous monitoring program into the organization’s broader information security governance structures and policies.,,
T0972,Use continuous monitoring scoring and grading metrics to make information security investment decisions to address persistent issues.,,
T0973,"Ensure that the continuous monitoring staff have the training and resources (e.g., staff and budget) needed to perform assigned duties.",,
T0974,Work with organizational risk analysts to ensure that continuous monitoring reporting covers appropriate levels of the organization.,,
T0975,Work with the organizational risk analysts to ensure risk metrics are defining realistically to support continuous monitoring.,,
T0976,Work with organizational officials to ensure continuous monitoring tool data provides situation awareness of risk levels.,,
T0977,Establish triggers for unacceptable risk thresholds for continuous monitoring data.,,
T0978,Work with organizational officials to establish system level reporting categories that can be used by the organization’s continuous monitoring program.,,
T0980,Designate a qualified person to be responsible for the management and implementation of the continuous monitoring program.,,
T0981,Identify the continuous monitoring stakeholders and establish a process to keep them informed about the program.,,
T0982,Identify security oriented organization reporting requirements that are fulfilled by the continuous monitoring program.  ,,
T0983,Use the continuous monitoring data to make information security investment decisions to address persistent issues.,,
T0984,Define triggers within the continuous monitoring program that can be used to define unacceptable risk and result in action being taken to resolve.,,
T0985,Establish scoring and grading metrics to measure effectiveness of continuous monitoring program.,,
T0986,Work with security managers to establish appropriate continuous monitoring reporting requirements at the system level.,,
T0987,Use the continuous monitoring tools and technologies to assess risk on an ongoing basis.,,
T0988,Establish appropriate reporting requirements in adherence to the criteria identified in the continuous monitoring program for use in automated control assessment.,,
T0989,Use non-automated assessment methods where the data from the continuous monitoring tools and technologies is not yet of adequate sufficiency or quality.,,
T0990,Develop processes with the external audit group on how to share information regarding the continuous monitoring program and its impact on security control assessment.,,
T0991,Identify reporting requirements for use in automated control assessment to support continuous monitoring.,,
T0992,Determine how the continuous monitoring results will be used in ongoing authorization.,,
T0993,Establish continuous monitoring tools and technologies access control process and procedures.,,
T0994,Ensure that continuous monitoring tools and technologies access control is managed adequately.  ,,
T0995,Establish a process to provide technical help to continuous monitoring mitigators.,,
T0996,Coordinate continuous monitoring reporting requirements across various users.,,
T0997,Establish responsibilities for supporting implementation of each continuous monitoring tool or technology.,,
T0998,Establish liaison with scoring and metrics working group to support continuous monitoring.,,
T0999,Establish and operate a process to manage introduction of new risk to support continuous monitoring.,,
T1000,Establish continuous monitoring configuration settings issues and coordination sub-group.,,
T1001,Establish continuous monitoring tools and technologies performance measurement/management requirements.,,
T1002,Using scores and grades to motivate and assess performance while addressing concerns to support continuous monitoring,,
T1003,"Work with security managers (i.e., system owners, information system security managers, information system security officers, etc.) to establish appropriate reporting requirements for continuous monitoring at the system level.",,
T1004,Use continuous monitoring tools to assess risk on an ongoing basis.,,
T1005,Use the continuous monitoring data to make information security investment decisions to address persistent issues.,,
T1006,"Respond to issues flagged during continuous monitoring, escalate and coordinate a response.",,
T1007,Review findings from the continuous monitoring program and mitigate risks on a timely basis.,,
